scenario_id,arm,n_judge_runs,trajectory_length,gt_step,gt_category,gt_category_name,gt_failures_json,gt_earliest_category,gt_terminal_category,most_common_category,most_common_category_name,step_mean,step_median,category_std,step_std,failure_case_accuracy_perrun,step_mae,step_acc_exact,step_acc_tol1,step_acc_tol3,step_acc_tol5,avg_step_distance,avg_step_distance_norm,cat_acc_critical,cat_acc_any,cat_acc_earliest,cat_acc_terminal,judge_model,agentrx_run_name
q07_t3_electric_kettle,telemetry,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,3,Invalid Invocation,2.666667,3.0,0.0,0.57735,1.0,0.666667,0,1,1,1,0.666667,0.133333,1,1,1,1,gpt-5.4,telemetry/q07_t3_electric_kettle
q08_t4_mechanical_keyboard,agentrx,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,3,Invalid Invocation,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q08_t4_mechanical_keyboard
q08_t4_mechanical_keyboard,telemetry,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,3,Invalid Invocation,2.333333,2.0,0.0,0.57735,1.0,0.333333,1,1,1,1,0.333333,0.066667,1,1,1,1,gpt-5.4,telemetry/q08_t4_mechanical_keyboard
q09_t5_vacuum_cleaner,agentrx,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,2,Invention of New Information,2.0,2.0,0.57735,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,agentrx/q09_t5_vacuum_cleaner
q09_t5_vacuum_cleaner,telemetry,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,1,Instruction/Plan Adherence Failure,2.0,2.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,telemetry/q09_t5_vacuum_cleaner
q10_t3_smartphone,agentrx,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,3,Invalid Invocation,2.666667,3.0,0.0,0.57735,1.0,0.666667,0,1,1,1,0.666667,0.133333,1,1,1,1,gpt-5.4,agentrx/q10_t3_smartphone
q10_t3_smartphone,telemetry,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,3,Invalid Invocation,3.0,3.0,0.0,0.0,1.0,1.0,0,1,1,1,1.0,0.2,1,1,1,1,gpt-5.4,telemetry/q10_t3_smartphone
q11_t4_jigsaw_puzzle,agentrx,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,3,Invalid Invocation,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q11_t4_jigsaw_puzzle
q11_t4_jigsaw_puzzle,telemetry,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,2,Invention of New Information,2.333333,2.0,0.57735,0.57735,0.333333,0.333333,1,1,1,1,0.333333,0.066667,0,0,0,0,gpt-5.4,telemetry/q11_t4_jigsaw_puzzle
q12_t5_skateboard,agentrx,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,3,Invalid Invocation,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q12_t5_skateboard
q12_t5_skateboard,telemetry,3,5,2,3,Invalid Invocation,"[{""category"":3,""step"":2}]",3,3,1,Instruction/Plan Adherence Failure,2.0,2.0,0.57735,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,telemetry/q12_t5_skateboard
q13_t1_electric_kettle,agentrx,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q13_t1_electric_kettle
q13_t1_electric_kettle,telemetry,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q13_t1_electric_kettle
q14_t3_mechanical_keyboard,agentrx,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q14_t3_mechanical_keyboard
q14_t3_mechanical_keyboard,telemetry,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q14_t3_mechanical_keyboard
q15_t4_vacuum_cleaner,agentrx,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q15_t4_vacuum_cleaner
q15_t4_vacuum_cleaner,telemetry,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q15_t4_vacuum_cleaner
q16_t1_smartphone,agentrx,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q16_t1_smartphone
q16_t1_smartphone,telemetry,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q16_t1_smartphone
q17_t3_jigsaw_puzzle,agentrx,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q17_t3_jigsaw_puzzle
q17_t3_jigsaw_puzzle,telemetry,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q17_t3_jigsaw_puzzle
q18_t4_skateboard,agentrx,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q18_t4_skateboard
q18_t4_skateboard,telemetry,3,5,4,4,Misinterpretation of Tool Output,"[{""category"":4,""step"":4}]",4,4,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q18_t4_skateboard
q19_t1_electric_kettle,agentrx,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,2,Invention of New Information,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q19_t1_electric_kettle
q19_t1_electric_kettle,telemetry,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,2,Invention of New Information,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q19_t1_electric_kettle
q20_t2_mechanical_keyboard,agentrx,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,4,Misinterpretation of Tool Output,4.0,4.0,1.154701,0.0,0.333333,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,agentrx/q20_t2_mechanical_keyboard
q20_t2_mechanical_keyboard,telemetry,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,4,Misinterpretation of Tool Output,4.0,4.0,1.154701,0.0,0.333333,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,telemetry/q20_t2_mechanical_keyboard
q21_t3_vacuum_cleaner,agentrx,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,2,Invention of New Information,4.0,4.0,1.154701,0.0,0.666667,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q21_t3_vacuum_cleaner
q21_t3_vacuum_cleaner,telemetry,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,2,Invention of New Information,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q21_t3_vacuum_cleaner
q22_t1_smartphone,agentrx,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,2,Invention of New Information,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,agentrx/q22_t1_smartphone
q22_t1_smartphone,telemetry,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,2,Invention of New Information,4.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,0.0,0.0,1,1,1,1,gpt-5.4,telemetry/q22_t1_smartphone
q23_t2_jigsaw_puzzle,agentrx,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,agentrx/q23_t2_jigsaw_puzzle
q23_t2_jigsaw_puzzle,telemetry,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,4,Misinterpretation of Tool Output,4.0,4.0,1.154701,0.0,0.333333,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,telemetry/q23_t2_jigsaw_puzzle
q24_t3_skateboard,agentrx,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,4,Misinterpretation of Tool Output,4.0,4.0,1.154701,0.0,0.333333,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,agentrx/q24_t3_skateboard
q24_t3_skateboard,telemetry,3,5,4,2,Invention of New Information,"[{""category"":2,""step"":4}]",2,2,4,Misinterpretation of Tool Output,4.0,4.0,1.154701,0.0,0.333333,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,telemetry/q24_t3_skateboard
q25_t1_electric_kettle,agentrx,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,10,Inconclusive,1.666667,2.0,4.50925,0.57735,0.333333,0.666667,0,1,1,1,0.666667,0.133333,0,0,0,0,gpt-5.4,agentrx/q25_t1_electric_kettle
q25_t1_electric_kettle,telemetry,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,5,Intent-Plan Misalignment,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,telemetry/q25_t1_electric_kettle
q26_t3_mechanical_keyboard,agentrx,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,0.0,3.0,0,0,1,1,3.0,0.6,0,0,0,0,gpt-5.4,agentrx/q26_t3_mechanical_keyboard
q26_t3_mechanical_keyboard,telemetry,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,0.0,3.0,0,0,1,1,3.0,0.6,0,0,0,0,gpt-5.4,telemetry/q26_t3_mechanical_keyboard
q27_t1_vacuum_cleaner,agentrx,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,5,Intent-Plan Misalignment,1.0,1.0,2.309401,0.0,0.333333,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,agentrx/q27_t1_vacuum_cleaner
q27_t1_vacuum_cleaner,telemetry,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,5,Intent-Plan Misalignment,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0,0,0,0,gpt-5.4,telemetry/q27_t1_vacuum_cleaner
q28_t3_smartphone,agentrx,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,10,Inconclusive,-1.0,-1.0,0.0,0.0,0.0,2.0,0,0,1,1,2.0,0.4,0,0,0,0,gpt-5.4,agentrx/q28_t3_smartphone
q28_t3_smartphone,telemetry,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,10,Inconclusive,-1.0,-1.0,0.0,0.0,0.0,2.0,0,0,1,1,2.0,0.4,0,0,0,0,gpt-5.4,telemetry/q28_t3_smartphone
q29_t1_jigsaw_puzzle,agentrx,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,5,Intent-Plan Misalignment,2.0,1.0,0.57735,1.732051,0.0,1.0,0,1,1,1,1.0,0.2,0,0,0,0,gpt-5.4,agentrx/q29_t1_jigsaw_puzzle
q29_t1_jigsaw_puzzle,telemetry,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,5,Intent-Plan Misalignment,2.0,1.0,0.57735,1.732051,0.0,1.0,0,1,1,1,1.0,0.2,0,0,0,0,gpt-5.4,telemetry/q29_t1_jigsaw_puzzle
q30_t3_skateboard,agentrx,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,0.0,3.0,0,0,1,1,3.0,0.6,0,0,0,0,gpt-5.4,agentrx/q30_t3_skateboard
q30_t3_skateboard,telemetry,3,5,1,1,Instruction/Plan Adherence Failure,"[{""category"":1,""step"":1}]",1,1,4,Misinterpretation of Tool Output,4.0,4.0,0.0,0.0,0.0,3.0,0,0,1,1,3.0,0.6,0,0,0,0,gpt-5.4,telemetry/q30_t3_skateboard
